,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,109/03/02,61067923,1358463487,22.1,22.45,22.0,22.25,-0.45,13026
1,109/03/03,48984294,1103219899,22.35,22.65,22.35,22.55,0.3,11882
2,109/03/04,37172030,837090269,22.45,22.6,22.4,22.55,0.0,5495
3,109/03/05,38086159,864905715,22.7,22.85,22.55,22.85,0.3,7880
4,109/03/06,48583007,1091043528,22.75,22.8,22.3,22.4,-0.45,11834
5,109/03/09,85760208,1879259732,22.0,22.1,21.75,21.8,-0.6,23375
6,109/03/10,84712457,1826219008,21.5,21.7,21.4,21.55,-0.25,18966
7,109/03/11,87372906,1871531560,21.5,21.6,21.3,21.35,-0.2,18865
8,109/03/12,88864211,1832673326,21.05,21.05,20.4,20.5,-0.85,23327
9,109/03/13,169063828,3229931344,19.0,19.8,18.6,19.65,-0.85,44167
10,109/03/16,104731939,2011321104,19.5,19.5,19.0,19.05,-0.6,26681
11,109/03/17,113863406,2098766234,18.45,18.75,18.3,18.35,-0.7,30625
12,109/03/18,90387788,1632454892,18.25,18.3,17.9,17.95,-0.4,27274
13,109/03/19,120667927,2025213284,17.5,17.55,16.3,16.3,-1.65,38022
14,109/03/20,133394613,2276621951,16.55,17.4,16.55,17.1,0.8,25013
15,109/03/23,108187738,1757930062,16.35,16.45,16.05,16.15,-0.95,35164
16,109/03/24,82306075,1380785936,16.75,17.05,16.6,16.6,0.45,17570
17,109/03/25,81773053,1433672294,17.3,17.8,17.3,17.5,0.9,20070
18,109/03/26,59751163,1034926555,17.55,17.7,17.05,17.3,-0.2,13341
19,109/03/27,74791081,1332974232,17.8,17.95,17.65,17.9,0.6,16835
20,109/03/30,54418539,966721710,17.5,18.15,17.35,17.9,0.0,10880
21,109/03/31,55664105,999135840,18.15,18.3,17.7,17.9,0.0,11613
