,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,109/03/02,53866787,1543536982,28.5,28.9,28.5,28.65,-0.4,16708
1,109/03/03,21741837,629139655,29.1,29.25,28.8,28.8,0.15,7620
2,109/03/04,22019064,634237491,28.75,29.0,28.6,29.0,0.2,6439
3,109/03/05,30147406,883312248,29.1,29.5,29.1,29.5,0.5,8412
4,109/03/06,26293669,765100152,29.3,29.35,29.0,29.1,-0.4,8821
5,109/03/09,75592926,2141854294,28.5,28.6,28.05,28.15,-0.95,31087
6,109/03/10,60002467,1666578928,27.45,28.3,27.45,28.0,-0.15,19456
7,109/03/11,43045511,1203747704,28.05,28.15,27.8,27.8,-0.2,15647
8,109/03/12,130071277,3538337310,27.85,27.9,26.75,27.05,-0.75,44644
9,109/03/13,129436727,3313607911,25.25,26.7,25.0,26.5,-0.55,42787
10,109/03/16,88087851,2258031391,26.05,26.2,25.2,25.2,-1.3,31879
11,109/03/17,163608415,3901563242,23.9,24.4,23.55,23.55,-1.65,47045
12,109/03/18,162751115,3693666592,22.8,23.25,22.2,22.2,-1.35,50725
13,109/03/19,220178259,4439050380,20.7,20.75,20.0,20.0,-2.2,67597
14,109/03/20,187037322,3998942584,20.4,22.0,20.4,22.0,2.0,53212
15,109/03/23,68163781,1439983318,20.45,21.8,20.25,21.2,-0.8,22718
16,109/03/24,83262628,1890479853,22.15,23.1,22.15,22.55,1.35,25332
17,109/03/25,121669935,2940737807,23.8,24.6,23.8,24.2,1.65,34369
18,109/03/26,66348754,1591493711,24.45,24.55,23.35,24.1,-0.1,19768
19,109/03/27,69082195,1689533893,24.9,24.9,24.1,24.2,0.1,19400
20,109/03/30,48182595,1150469595,23.4,24.35,23.3,24.1,-0.1,12922
21,109/03/31,41170026,1001959574,24.5,24.65,24.1,24.25,0.15,10371
