,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,109/03/02,27894641,2437814508,87.5,88.25,86.85,87.35,-1.3,12628
1,109/03/03,11071900,980838153,88.85,88.95,88.25,88.6,1.25,5903
2,109/03/04,8437415,749733154,88.8,89.2,88.4,89.2,0.6,3541
3,109/03/05,9785483,881048721,89.8,90.25,89.75,90.2,1.0,5246
4,109/03/06,17096376,1515504581,89.65,89.65,88.3,88.35,-1.85,8153
5,109/03/09,27734426,2389878137,86.8,86.8,85.6,85.85,-2.5,16049
6,109/03/10,23784345,2031046781,85.0,86.3,84.9,86.3,0.45,10444
7,109/03/11,15306570,1315633871,86.45,86.55,85.05,85.3,-1.0,7642
8,109/03/12,44910246,3702402943,84.5,84.5,81.15,82.15,-3.15,19425
9,109/03/13,53704860,4165969502,78.0,81.4,75.95,81.0,-1.15,22286
10,109/03/16,33813951,2652927807,80.0,80.4,76.95,77.3,-3.7,17505
11,109/03/17,51145832,3843020137,74.3,76.7,74.3,74.85,-2.45,20922
12,109/03/18,46790503,3463425684,74.95,75.25,72.8,72.8,-2.05,23021
13,109/03/19,68038340,4709268810,71.0,71.0,67.25,68.55,-4.25,27999
14,109/03/20,40910533,2966513589,71.0,74.0,70.9,74.0,5.45,20786
15,109/03/23,22465117,1599805748,71.0,72.1,69.55,70.8,-3.2,12011
16,109/03/24,26956843,2009808259,73.85,75.3,73.7,74.25,3.45,13009
17,109/03/25,32687820,2515225203,76.8,77.45,76.1,76.85,2.6,17188
18,109/03/26,19215688,1477391870,77.4,77.45,76.0,77.2,0.35,9509
19,109/03/27,21953901,1706695527,78.3,78.7,76.45,76.6,-0.6,12164
20,109/03/30,13605883,1021517958,74.7,76.15,74.05,75.85,-0.75,7322
21,109/03/31,9764000,745847201,76.8,77.2,75.6,76.15,0.3,5249
